band,ion,holding,instrument,engine,reference_pool,verdict,reason
NIR,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,24,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
NIR,Fe I,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,24,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv (1 line(s) out of domain in this band)"
NIR,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,1D-LTE,29,GAP,
NIR,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A,29,GAP,
NIR,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B,29,GAP,
NIR,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-B-NLTE,29,N/A,"zero NLTE level labels for Fe in this band's synthesis list (data/linelists/ispec_ir_9200_13000/atomic_lines.tsv: 237 Fe lines, 0 labelled). Fe: 235 lines in 9199.0-12976.0 A but NONE carry NLTE level labels. bsyn sets departure = 1 for an unidentified level and iSpec drops an unlabelled element into `nlte_ignored` — either way the synthesis runs in LTE WITHOUT RAISING (RYA-534 Co/Ni, RYA-764). Refusing: an LTE spectrum under an NLTE label is worse than no product. This is a LINE-LIST coverage gap, not a deck failure — the atom carries transitions for this ionisation stage, these lines have no level identification."
NIR,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-1D-LTE-gerber,29,GAP,
NIR,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-LTE-gerber-stagger,29,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
NIR,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,synth-mean3D-NLTE-gerber-stagger,29,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
NIR,Fe I,solar_kpno_molecfit_corrected,kpno_solar_atlas,ENGINE-A-3DNLTE,29,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv (1 line(s) out of domain in this band)"
NIR,Fe I,solar_iag,iag_fts_solar_atlas,1D-LTE,29,GAP,
NIR,Fe I,solar_iag,iag_fts_solar_atlas,ENGINE-A,29,GAP,
NIR,Fe I,solar_iag,iag_fts_solar_atlas,ENGINE-B,29,GAP,
NIR,Fe I,solar_iag,iag_fts_solar_atlas,ENGINE-B-NLTE,29,N/A,"zero NLTE level labels for Fe in this band's synthesis list (data/linelists/ispec_ir_9200_13000/atomic_lines.tsv: 237 Fe lines, 0 labelled). Fe: 235 lines in 9199.0-12976.0 A but NONE carry NLTE level labels. bsyn sets departure = 1 for an unidentified level and iSpec drops an unlabelled element into `nlte_ignored` — either way the synthesis runs in LTE WITHOUT RAISING (RYA-534 Co/Ni, RYA-764). Refusing: an LTE spectrum under an NLTE label is worse than no product. This is a LINE-LIST coverage gap, not a deck failure — the atom carries transitions for this ionisation stage, these lines have no level identification."
NIR,Fe I,solar_iag,iag_fts_solar_atlas,synth-1D-LTE-gerber,29,GAP,
NIR,Fe I,solar_iag,iag_fts_solar_atlas,synth-mean3D-LTE-gerber-stagger,29,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
NIR,Fe I,solar_iag,iag_fts_solar_atlas,synth-mean3D-NLTE-gerber-stagger,29,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
NIR,Fe I,solar_iag,iag_fts_solar_atlas,ENGINE-A-3DNLTE,29,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv (1 line(s) out of domain in this band)"
NIR,Fe I,solar_crires_plus_y_wide_rya1054,crires_plus,1D-LTE,5,GAP,
NIR,Fe I,solar_crires_plus_y_wide_rya1054,crires_plus,ENGINE-A,5,GAP,
NIR,Fe I,solar_crires_plus_y_wide_rya1054,crires_plus,ENGINE-B,5,GAP,
NIR,Fe I,solar_crires_plus_y_wide_rya1054,crires_plus,ENGINE-B-NLTE,5,N/A,"zero NLTE level labels for Fe in this band's synthesis list (data/linelists/ispec_ir_9200_13000/atomic_lines.tsv: 237 Fe lines, 0 labelled). Fe: 235 lines in 9199.0-12976.0 A but NONE carry NLTE level labels. bsyn sets departure = 1 for an unidentified level and iSpec drops an unlabelled element into `nlte_ignored` — either way the synthesis runs in LTE WITHOUT RAISING (RYA-534 Co/Ni, RYA-764). Refusing: an LTE spectrum under an NLTE label is worse than no product. This is a LINE-LIST coverage gap, not a deck failure — the atom carries transitions for this ionisation stage, these lines have no level identification."
NIR,Fe I,solar_crires_plus_y_wide_rya1054,crires_plus,synth-1D-LTE-gerber,5,GAP,
NIR,Fe I,solar_crires_plus_y_wide_rya1054,crires_plus,synth-mean3D-LTE-gerber-stagger,5,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
NIR,Fe I,solar_crires_plus_y_wide_rya1054,crires_plus,synth-mean3D-NLTE-gerber-stagger,5,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
NIR,Fe I,solar_crires_plus_y_wide_rya1054,crires_plus,ENGINE-A-3DNLTE,5,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv (1 line(s) out of domain in this band)"
H,Fe I,solar_crires_plus_h_rya1094,crires_plus,1D-LTE,25,GAP,
H,Fe I,solar_crires_plus_h_rya1094,crires_plus,ENGINE-A,25,GAP,
H,Fe I,solar_crires_plus_h_rya1094,crires_plus,ENGINE-B,25,GAP,
H,Fe I,solar_crires_plus_h_rya1094,crires_plus,ENGINE-B-NLTE,25,GAP,
H,Fe I,solar_crires_plus_h_rya1094,crires_plus,synth-1D-LTE-gerber,25,GAP,
H,Fe I,solar_crires_plus_h_rya1094,crires_plus,synth-mean3D-LTE-gerber-stagger,25,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
H,Fe I,solar_crires_plus_h_rya1094,crires_plus,synth-mean3D-NLTE-gerber-stagger,25,N/A,"the <3D> STAGGERmean3D deck and its atmosphere are a VIS-band pair; no mean-3D product exists outside VIS in any grade, so a Reference cell here would be the first and is out of this ticket's scope (RYA-1040 owns the deck's reach)."
H,Fe I,solar_crires_plus_h_rya1094,crires_plus,ENGINE-A-3DNLTE,25,N/A,"the Amarsi 2022 MLP is VIS-boxed: every non-VIS Fe I line fails `transition energy Eup-Elo outside training [1.8190, 2.5898] eV`, and dE IS the wavelength, so a redder line is below the box by construction. `amarsi3d.classify_line` refuses to extrapolate. MEASURED: rya1187_applicability_matrix/amarsi_domain_check.csv"
