element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,continuum_level,continuum_method,continuum_ref,nlte_delta_dex,nlte_source,ew_inversion,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,observed_depth,implied_width_A,observed_conditioning
Fe,I,5705.9918,kpno_solar_atlas,123.79681134210425,"PROFILE-FIT (voigt); gap 0.528 A; model integrated; chi2_red=0.008578; sigma_fit=0.0201 A (init 0.0327, floor 0.0048); ew_err=15.09 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0568[uncorrected: no telluric band registered]",,-4.6636216845800496,,False,REW -4.664 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.6076,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.020057810733889115,0.004846223320678438,0.07428746744441728,,,,0.008578453114323158,0.55775,0.2085151762598307,
Fe,I,5712.1308,kpno_solar_atlas,157.66013812912348,"PROFILE-FIT (voigt); gap 0.256 A; model integrated; chi2_red=0.01357; sigma_fit=0.1829 A (init 0.0328, floor 0.0049); ew_err=74.74 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0568[uncorrected: no telluric band registered]",,-4.5590762409120345,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.1829 A, against the 0.0833 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0049 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.417,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.1829000239936272,0.004851437307310112,0.008217588714820905,,,,0.013566615622266008,0.58455,0.2533774888776579,
Fe,I,5717.8322,kpno_solar_atlas,84.20794714874556,"PROFILE-FIT (voigt); gap 1.382 A; model integrated; chi2_red=0.0004309; sigma_fit=0.0095 A (init 0.0328, floor 0.0049); ew_err=1.79 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0568[uncorrected: no telluric band registered]",,-4.831878325963637,,False,REW -4.832 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.2843,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.009482507750518067,0.004856279630714873,0.052716266319108626,,,,0.0004309185021715224,0.51037,0.15500143957188237,
Fe,I,5753.1219,kpno_solar_atlas,109.2334678570354,"PROFILE-FIT (voigt); gap 0.501 A; model integrated; chi2_red=0.008856; sigma_fit=0.0049 A (init 0.0330, floor 0.0049); ew_err=14.97 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0572[uncorrected: no telluric band registered]",,-4.721547854662477,,False,REW -4.722 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.2605,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0048862519428330975,0.0048862519428236545,0.060158048432626,,,,0.008855516060046567,0.60396,0.1699085896194105,
Fe,I,5775.0802,kpno_solar_atlas,76.36268112879475,"PROFILE-FIT (voigt); gap 1.052 A; model integrated; chi2_red=0.0002716; sigma_fit=0.0248 A (init 0.0331, floor 0.0049); ew_err=2.70 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0576[uncorrected: no telluric band registered]",,-4.878676851495441,,False,REW -4.879 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.2204,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.02480970405825137,0.004904901606067555,0.0393690387259845,,,,0.000271627596596561,0.5019100000000001,0.14292990646499207,
Fe,I,5784.6577,kpno_solar_atlas,103.51456799777908,"PROFILE-FIT (voigt); gap 0.312 A; model integrated; chi2_red=0.005237; sigma_fit=0.3846 A (init 0.0332, floor 0.0049); ew_err=96.95 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0576[uncorrected: no telluric band registered]",,-4.747276191202772,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.3846 A, against the 0.0843 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0049 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.3965,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.3845822405948063,0.004913035985765366,1.3850699519004507e-07,,,,0.005237364332733152,0.30316,0.32077267471171533,
Fe,I,6003.0107,kpno_solar_atlas,97.91512562510903,"PROFILE-FIT (voigt); gap 0.934 A; model integrated; chi2_red=0.0001376; sigma_fit=0.0362 A (init 0.0344, floor 0.0051); ew_err=0.81 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0600[uncorrected: no telluric band registered]",,-4.787519332009051,,False,REW -4.788 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.8816,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.036215325536054305,0.005098487952370031,0.03594357434903556,,,,0.00013760668929453678,0.58558,0.15708377875061807,
Fe,I,6008.5555,kpno_solar_atlas,108.40696099769706,"PROFILE-FIT (voigt); gap 0.596 A; model integrated; chi2_red=0.01059; sigma_fit=0.0256 A (init 0.0345, floor 0.0051); ew_err=12.10 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0600[uncorrected: no telluric band registered]",,-4.7437129071363,,False,REW -4.744 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.8835,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.02564798645758491,0.005103197271978325,0.05015787758317132,,,,0.010586271213748999,0.59839,0.17019258415377228,
Fe,I,6056.0042,kpno_solar_atlas,84.16263437144067,"PROFILE-FIT (voigt); gap 0.603 A; model integrated; chi2_red=0.0001484; sigma_fit=0.0368 A (init 0.0347, floor 0.0051); ew_err=1.17 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0604[uncorrected: no telluric band registered]",,-4.857066846829298,,False,REW -4.857 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.7331,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.03675637295973177,0.005143496488054289,0.031750685813792694,,,,0.00014838004331636304,0.53007,0.14916051880336553,
Fe,I,6141.7304,kpno_solar_atlas,132.548000314895,"PROFILE-FIT (voigt); gap 0.753 A; model integrated; chi2_red=6.452e-05; sigma_fit=0.0394 A (init 0.0352, floor 0.0052); ew_err=8.23 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0612[uncorrected: no telluric band registered]",,-4.66591756841504,,False,REW -4.666 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.6025,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.039372774776832264,0.00521630561996246,0.03516967474586489,,,,6.451726646868859e-05,0.76768,0.1622036951762525,
Fe,I,6232.6399,kpno_solar_atlas,95.59078875430828,"PROFILE-FIT (voigt); gap 0.996 A; model integrated; chi2_red=0.000128; sigma_fit=0.0396 A (init 0.0357, floor 0.0053); ew_err=1.23 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0620[uncorrected: no telluric band registered]",,-4.814255990466862,,False,REW -4.814 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.6537,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.039644509340821185,0.005293517041642248,0.03262625678897366,,,,0.00012795786771562737,0.57228,0.15691890413102086,
Fe,I,6315.8106,kpno_solar_atlas,59.89500856136118,"PROFILE-FIT (voigt); gap 0.399 A; model integrated; chi2_red=0.0182; sigma_fit=0.0054 A (init 0.0362, floor 0.0054); ew_err=19.22 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0628[uncorrected: no telluric band registered]",,-5.023038466479559,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.498 A from the catalogued position (depth 0.434 vs 0.340 at the line) — the EW is an upper bound on a blend, not this line",,,,,4.0758,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.005364155731651036,0.005364155731648278,0.05848842656699335,,,,0.01820408238639408,0.34797999999999996,0.16169780978957837,
Fe,I,6336.823,kpno_solar_atlas,125.56105846086524,"PROFILE-FIT (voigt); gap 0.724 A; model integrated; chi2_red=4.368e-05; sigma_fit=0.0382 A (init 0.0363, floor 0.0054); ew_err=1.97 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0632[uncorrected: no telluric band registered]",,-4.703016608510089,,False,REW -4.703 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.6864,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.03815766084211097,0.005382002021385923,0.047987476330849925,,,,4.367671876863526e-05,0.63199,0.1866433631404343,
Fe,I,6408.017,kpno_solar_atlas,118.94602324786099,"PROFILE-FIT (voigt); gap 0.654 A; model integrated; chi2_red=0.0002538; sigma_fit=0.0256 A (init 0.0367, floor 0.0054); ew_err=7.08 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0640[uncorrected: no telluric band registered]",,-4.731373728489188,,False,REW -4.731 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.6864,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.025598025790462324,0.0054424686387919245,0.057502823421492266,,,,0.0002538420583059311,0.59761,0.1869820257226553,
Fe,I,6627.5434,kpno_solar_atlas,32.177172688690646,"PROFILE-FIT (voigt); gap 2.051 A; model integrated; chi2_red=2.1e-05; sigma_fit=0.0359 A (init 0.0380, floor 0.0056); ew_err=0.44 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0660[uncorrected: no telluric band registered]",,-5.31380469907065,,True,,,,,,4.5485,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.03589091822156267,0.0056289171996161055,0.026255765971043517,,,,2.1003945445327284e-05,0.22185,0.13625618907781062,
Fe,I,6663.2311,kpno_solar_atlas,113.10175080104295,"PROFILE-FIT (voigt); gap 0.210 A; model integrated; chi2_red=0.003407; sigma_fit=0.0057 A (init 0.0382, floor 0.0057); ew_err=5.48 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0664[uncorrected: no telluric band registered]",,-4.770215548307756,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.220 A from the catalogued position (depth 0.565 vs 0.262 at the line) — the EW is an upper bound on a blend, not this line",,,,,4.5585,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.005659227543189977,0.005659227541807866,0.06926992276219893,,,,0.0034065785870863517,0.56705,0.187376776278455,
Fe,I,6725.3553,kpno_solar_atlas,20.68658287956461,"PROFILE-FIT (voigt); gap 1.310 A; model integrated; chi2_red=1.416e-05; sigma_fit=0.0344 A (init 0.0386, floor 0.0057); ew_err=1.05 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0672[uncorrected: no telluric band registered]",,-5.512026475520228,,True,,,,,,4.1034,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.03443927010503443,0.005711990980202308,0.027975043630113813,,,,1.416366047787027e-05,0.14249,0.13638674381341132,
Fe,I,6841.3381,kpno_solar_atlas,85.9893488264743,"PROFILE-FIT (voigt); gap 0.254 A; model integrated; chi2_red=0.0001519; sigma_fit=0.0145 A (init 0.0392, floor 0.0058); ew_err=5.61 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0680,lm0684[uncorrected: no telluric band registered]",,-4.900696393686627,,True,,,,,,4.607,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.014510459489940963,0.005810497702584486,0.061965320057129444,,,,0.00015187520966409513,0.44236,0.1826150643337962,
Fe,I,6843.6549,kpno_solar_atlas,69.16406174114157,"PROFILE-FIT (voigt); gap 0.938 A; model integrated; chi2_red=0.0001078; sigma_fit=0.0412 A (init 0.0392, floor 0.0058); ew_err=9.48 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0684[uncorrected: no telluric band registered]",,-4.99540761176302,,True,,,,,,4.5485,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.04123144833183947,0.0058124654113690215,0.028877536263551686,,,,0.0001078076976464012,0.42564,0.15265317626612326,
Fe,I,6855.1606,kpno_solar_atlas,89.1096048237407,"PROFILE-FIT (voigt); gap 0.338 A; model integrated; chi2_red=0.001952; sigma_fit=0.0261 A (init 0.0393, floor 0.0058); ew_err=3.95 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0684[uncorrected: no telluric band registered]",,-4.886093116027414,,False,REW -4.886 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.5585,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.026145363859447653,0.005822237453393465,0.050367320176842076,,,,0.0019523053483896833,0.48762000000000005,0.17167647894183236,
