# ENGINE x WAVELENGTH COVERAGE — **GENERATED by scripts/generate_engine_coverage_rya776.py — do not hand-edit**
# =====================================================================
# RYA-776. The sibling of instrument_coverage: that says which INSTRUMENT sees a
# wavelength, this says which ENGINE/GRID can model it. Read it through
# pipeline.coverage.engine_reach(), never by eye.
#
# state:
#   SERVED                   the per-line extract resolves it. Usable now.
#   REACHABLE-NOT-EXTRACTED  the model atom's levels cover it, no extract does.
#                            A derivation away, NOT a data gap.
#   UNCOVERED                catalogued lines exist here and the model carries
#                            none of them. The only state that means 'we cannot
#                            model this'.
#   REACH-UNKNOWN            reach is not locally decidable — a service-only
#                            supplier (Fe/MPIA) or no catalogued line in band.
#                            NOT a claim of absence.
#
# n_lines_catalogued is the GES in-band denominator; a 0 there is OUR linelist's
# limit, not the grid's (the 9199.9 A wall is GES, atom.fe607a reaches 20000 A).
# bands: pipeline.band_policy · reach reader: scripts/rya763_level_mapping.py
# extracts @ 769b320 · decks on Sirius: amarsi_galah + gerber_ts
element,ion,engine,grid_id,band,band_lo_A,band_hi_A,state,n_lines_served,n_lines_reachable,n_lines_catalogued,level_asset,grid_asset,note
Na,II,B,atom.na_qmh,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,0,atom.na_qmh,NLTEgrid4TS_Na_MARCS_Jul-14-2023.bin,"levels rebased to this ion's ground state (-5.139 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Na,II,B,atom.na_qmh,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.na_qmh,NLTEgrid4TS_Na_MARCS_Jul-14-2023.bin,"levels rebased to this ion's ground state (-5.139 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ni,I,B,atom.ni538qm,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.ni538qm,NLTEgrid4TS_Ni_MARCS_Jan-31-2022.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ni,I,B,atom.ni538qm,VIS,3800.0,6910.0,SERVED,393,393,1126,atom.ni538qm,NLTEgrid4TS_Ni_MARCS_Jan-31-2022.bin,
Ni,I,B,atom.ni538qm,red-optical,6910.0,10000.0,SERVED,173,173,649,atom.ni538qm,NLTEgrid4TS_Ni_MARCS_Jan-31-2022.bin,
Ni,I,B,atom.ni538qm,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.ni538qm,NLTEgrid4TS_Ni_MARCS_Jan-31-2022.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ni,II,B,atom.ni538qm,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.ni538qm,NLTEgrid4TS_Ni_MARCS_Jan-31-2022.bin,"levels rebased to this ion's ground state (-7.640 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ni,II,B,atom.ni538qm,VIS,3800.0,6910.0,SERVED,44,44,3502,atom.ni538qm,NLTEgrid4TS_Ni_MARCS_Jan-31-2022.bin,levels rebased to this ion's ground state (-7.640 eV; the atom counts from the NEUTRAL ground state)
Ni,II,B,atom.ni538qm,red-optical,6910.0,10000.0,SERVED,48,48,2582,atom.ni538qm,NLTEgrid4TS_Ni_MARCS_Jan-31-2022.bin,levels rebased to this ion's ground state (-7.640 eV; the atom counts from the NEUTRAL ground state)
Ni,II,B,atom.ni538qm,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.ni538qm,NLTEgrid4TS_Ni_MARCS_Jan-31-2022.bin,"levels rebased to this ion's ground state (-7.640 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
O,I,B,atom.o41f,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.o41f,NLTEgrid4TS_O_MARCS_May-21-2021.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
O,I,B,atom.o41f,VIS,3800.0,6910.0,SERVED,10,10,117,atom.o41f,NLTEgrid4TS_O_MARCS_May-21-2021.bin,
O,I,B,atom.o41f,red-optical,6910.0,10000.0,SERVED,15,15,46,atom.o41f,NLTEgrid4TS_O_MARCS_May-21-2021.bin,
O,I,B,atom.o41f,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.o41f,NLTEgrid4TS_O_MARCS_May-21-2021.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
O,II,B,atom.o41f,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.o41f,NLTEgrid4TS_O_MARCS_May-21-2021.bin,"levels rebased to this ion's ground state (-13.618 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
O,II,B,atom.o41f,VIS,3800.0,6910.0,REACH-UNKNOWN,0,0,93,atom.o41f,NLTEgrid4TS_O_MARCS_May-21-2021.bin,"levels rebased to this ion's ground state (-13.618 eV; the atom counts from the NEUTRAL ground state); not one endpoint of 93 catalogued line(s) resolves in atom.o41f — the (J, energy) key does not address this table (super-levels carry a summed statistical weight, so G is not 2J+1), so absence cannot be asserted from it"
O,II,B,atom.o41f,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,102,atom.o41f,NLTEgrid4TS_O_MARCS_May-21-2021.bin,"levels rebased to this ion's ground state (-13.618 eV; the atom counts from the NEUTRAL ground state); not one endpoint of 102 catalogued line(s) resolves in atom.o41f — the (J, energy) key does not address this table (super-levels carry a summed statistical weight, so G is not 2J+1), so absence cannot be asserted from it"
O,II,B,atom.o41f,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.o41f,NLTEgrid4TS_O_MARCS_May-21-2021.bin,"levels rebased to this ion's ground state (-13.618 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
S,I,A,S_Amarsi2025_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,,S_Amarsi2025_PySME.csv,"no local Engine-A level table (no label_S.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
S,I,A,S_Amarsi2025_PySME,VIS,3800.0,6910.0,SERVED,2,0,4968,,S_Amarsi2025_PySME.csv,registry role=production
S,I,A,S_Amarsi2025_PySME,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,1446,,S_Amarsi2025_PySME.csv,"no local Engine-A level table (no label_S.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
S,I,A,S_Amarsi2025_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,,S_Amarsi2025_PySME.csv,"no local Engine-A level table (no label_S.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Si,I,A,Si_Amarsi2020_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Si.txt,Si_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Si,I,A,Si_Amarsi2020_PySME,VIS,3800.0,6910.0,SERVED,7,540,711,label_Si.txt,Si_Amarsi2020_PySME.csv,registry role=production
Si,I,A,Si_Amarsi2020_PySME,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,438,513,label_Si.txt,Si_Amarsi2020_PySME.csv,levels present in the model; no per-line extract exposes this band; registry role=production
Si,I,A,Si_Amarsi2020_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Si.txt,Si_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Si,I,A,Si_Bergemann_MPIA,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Si.txt,Si_Bergemann_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,I,A,Si_Bergemann_MPIA,VIS,3800.0,6910.0,SERVED,6,540,711,label_Si.txt,Si_Bergemann_MPIA.csv,
Si,I,A,Si_Bergemann_MPIA,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,438,513,label_Si.txt,Si_Bergemann_MPIA.csv,levels present in the model; no per-line extract exposes this band
Si,I,A,Si_Bergemann_MPIA,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Si.txt,Si_Bergemann_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,I,B,atom.si340,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,I,B,atom.si340,VIS,3800.0,6910.0,SERVED,203,203,711,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,
Si,I,B,atom.si340,red-optical,6910.0,10000.0,SERVED,169,169,513,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,
Si,I,B,atom.si340,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,II,B,atom.si340,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"levels rebased to this ion's ground state (-8.152 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Si,II,B,atom.si340,VIS,3800.0,6910.0,UNCOVERED,0,0,149,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"levels rebased to this ion's ground state (-8.152 eV; the atom counts from the NEUTRAL ground state); 149 catalogued line(s) in band; 12 resolve one endpoint, none resolve both in atom.si340"
Si,II,B,atom.si340,red-optical,6910.0,10000.0,SERVED,1,1,105,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,levels rebased to this ion's ground state (-8.152 eV; the atom counts from the NEUTRAL ground state)
Si,II,B,atom.si340,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.si340,NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,"levels rebased to this ion's ground state (-8.152 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Sr,I,B,atom.sr191,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.sr191,NLTEgrid4TS_Sr_MARCS_Mar-15-2023.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Sr,I,B,atom.sr191,VIS,3800.0,6910.0,SERVED,14,14,69,atom.sr191,NLTEgrid4TS_Sr_MARCS_Mar-15-2023.bin,
Sr,I,B,atom.sr191,red-optical,6910.0,10000.0,SERVED,3,3,9,atom.sr191,NLTEgrid4TS_Sr_MARCS_Mar-15-2023.bin,
Sr,I,B,atom.sr191,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.sr191,NLTEgrid4TS_Sr_MARCS_Mar-15-2023.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Sr,II,A,Sr_Bergemann2012_INSPECT,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,,Sr_Bergemann2012_INSPECT.csv,"no local Engine-A level table (no label_Sr.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Sr,II,A,Sr_Bergemann2012_INSPECT,VIS,3800.0,6910.0,SERVED,2,0,18,,Sr_Bergemann2012_INSPECT.csv,registry role=production
Sr,II,A,Sr_Bergemann2012_INSPECT,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,6,,Sr_Bergemann2012_INSPECT.csv,"no local Engine-A level table (no label_Sr.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Sr,II,A,Sr_Bergemann2012_INSPECT,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,,Sr_Bergemann2012_INSPECT.csv,"no local Engine-A level table (no label_Sr.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Sr,II,B,atom.sr191,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.sr191,NLTEgrid4TS_Sr_MARCS_Mar-15-2023.bin,"levels rebased to this ion's ground state (-5.695 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Sr,II,B,atom.sr191,VIS,3800.0,6910.0,SERVED,5,5,18,atom.sr191,NLTEgrid4TS_Sr_MARCS_Mar-15-2023.bin,levels rebased to this ion's ground state (-5.695 eV; the atom counts from the NEUTRAL ground state)
Sr,II,B,atom.sr191,red-optical,6910.0,10000.0,UNCOVERED,0,0,6,atom.sr191,NLTEgrid4TS_Sr_MARCS_Mar-15-2023.bin,"levels rebased to this ion's ground state (-5.695 eV; the atom counts from the NEUTRAL ground state); 6 catalogued line(s) in band; 3 resolve one endpoint, none resolve both in atom.sr191"
Sr,II,B,atom.sr191,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.sr191,NLTEgrid4TS_Sr_MARCS_Mar-15-2023.bin,"levels rebased to this ion's ground state (-5.695 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ti,I,A,Ti_Bergemann2011_MPIA,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Ti.txt,Ti_Bergemann2011_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Ti,I,A,Ti_Bergemann2011_MPIA,VIS,3800.0,6910.0,SERVED,19,3483,4223,label_Ti.txt,Ti_Bergemann2011_MPIA.csv,registry role=production
Ti,I,A,Ti_Bergemann2011_MPIA,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,1979,2575,label_Ti.txt,Ti_Bergemann2011_MPIA.csv,levels present in the model; no per-line extract exposes this band; registry role=production
Ti,I,A,Ti_Bergemann2011_MPIA,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Ti.txt,Ti_Bergemann2011_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Ti,I,A,Ti_Mallinson2024_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Ti.txt,Ti_Mallinson2024_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ti,I,A,Ti_Mallinson2024_PySME,VIS,3800.0,6910.0,SERVED,3,3483,4223,label_Ti.txt,Ti_Mallinson2024_PySME.csv,
Ti,I,A,Ti_Mallinson2024_PySME,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,1979,2575,label_Ti.txt,Ti_Mallinson2024_PySME.csv,levels present in the model; no per-line extract exposes this band
Ti,I,A,Ti_Mallinson2024_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Ti.txt,Ti_Mallinson2024_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ti,I,B,atom.ti503b,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.ti503b,NLTEgrid4TS_TI_MARCS_Feb-21-2022.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ti,I,B,atom.ti503b,VIS,3800.0,6910.0,SERVED,1534,1534,4223,atom.ti503b,NLTEgrid4TS_TI_MARCS_Feb-21-2022.bin,
Ti,I,B,atom.ti503b,red-optical,6910.0,10000.0,SERVED,897,897,2575,atom.ti503b,NLTEgrid4TS_TI_MARCS_Feb-21-2022.bin,
Ti,I,B,atom.ti503b,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.ti503b,NLTEgrid4TS_TI_MARCS_Feb-21-2022.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ti,II,B,atom.ti503b,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.ti503b,NLTEgrid4TS_TI_MARCS_Feb-21-2022.bin,"levels rebased to this ion's ground state (-6.828 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ti,II,B,atom.ti503b,VIS,3800.0,6910.0,SERVED,235,235,717,atom.ti503b,NLTEgrid4TS_TI_MARCS_Feb-21-2022.bin,levels rebased to this ion's ground state (-6.828 eV; the atom counts from the NEUTRAL ground state)
Ti,II,B,atom.ti503b,red-optical,6910.0,10000.0,SERVED,88,88,455,atom.ti503b,NLTEgrid4TS_TI_MARCS_Feb-21-2022.bin,levels rebased to this ion's ground state (-6.828 eV; the atom counts from the NEUTRAL ground state)
Ti,II,B,atom.ti503b,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.ti503b,NLTEgrid4TS_TI_MARCS_Feb-21-2022.bin,"levels rebased to this ion's ground state (-6.828 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
