key,authors,year,title,venue,doi,url,category,role_in_codex,tickets,local_file,license_note,verified
kurucz2014_atlas,"Kurucz, R. L.",2014,Model Atmosphere Codes: ATLAS12 and ATLAS9,"Determination of Atmospheric Parameters of B-, A-, F- and G-Type Stars, GeoPlanet: Earth and Planetary Sciences, 39",10.1007/978-3-319-06956-2_4,https://doi.org/10.1007/978-3-319-06956-2_4,model_atmosphere,ATLAS9/ATLAS12 and SYNTHE — the 1D-LTE atmosphere family behind the Engine-A baseline grids.,,Reference documents/atlas9atlas12.pdf,,extracted
kurucz_online,"Kurucz, R. L.",2014,Robert L. Kurucz on-line database of observed and predicted atomic transitions,kurucz.harvard.edu,,http://kurucz.harvard.edu/,atomic_data_gf,"GES codes K99/K03/K04/K06/K07/K08/K09/K10/K11/K12/K13/K14 — semi-empirical calculations, ~91,000 canonical_gf rows and the dominant non-lab gf source. The RYA-161 firewall class.",RYA-161; RYA-822; RYA-853,,"Living online database, no DOI. URL confirmed HTTP 200 on 2026-08-17.",publisher
kurucz_peytremann1975,"Kurucz, R. L.; Peytremann, E.",1975,A Table of Semiempirical gf Values,SAO Special Report 362,,https://articles.adsabs.harvard.edu/pdf/1975SAOSR.362.....K,atomic_data_gf,"GES code KP (4,044 canonical_gf rows). Semi-empirical; firewall class.",RYA-161; RYA-853,,"No DOI exists for this SAO Special Report; the link is the ADS scanned report. Bibcode 1975SAOSR.362.....K confirmed by SIMBAD (exact title and authors) and by CDS VizieR catalogue VI/10, the machine-readable table derived from it (https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/10). CAVEAT, stated because it is a real gap: unlike the four A&A scans this 64 MB PDF was NOT downloaded in full — the gateway resolves HTTP 200 but the transfer timed out, so the file itself is unread and the identification rests on SIMBAD and VizieR.",publisher
lagae2025,"Lagae, C.; Amarsi, A. M.; Lind, K.",2025,"3D non-LTE Ca II line formation in metal-poor FGK stars. I. Abundance corrections, radial velocity corrections, and synthetic spectra","A&A 697, A60",10.1051/0004-6361/202452874,https://doi.org/10.1051/0004-6361/202452874,nlte,3D non-LTE Ca II reference; the frontier check for the Ca leg.,RYA-561; RYA-663,Reference documents/Metal Poor.pdf,"Ticket inventory listed no authors for this file; identified from PDF metadata as Lagae, Amarsi & Lind (2025).",extracted
lawler2009,"Lawler, J. E.; Sneden, C.; Cowan, J. J.; Ivans, I. I.; Den Hartog, E. A.",2009,"Improved Laboratory Transition Probabilities for Ce II, Application to the Cerium Abundances of the Sun and Five r-process-rich, Metal-poor Stars","ApJS 182, 51",10.1088/0067-0049/182/1/51,https://doi.org/10.1088/0067-0049/182/1/51,atomic_data_gf,GES code LSCI (519 canonical_gf rows). Laboratory Ce II gf.,RYA-853,,,crossref
lawler2013,"Lawler, J. E.; Guzman, A.; Wood, M. P.; Sneden, C.; Cowan, J. J.",2013,Improved log(gf) Values for Lines of Ti I and Abundance Determinations in the Photospheres of the Sun and Metal-poor Star HD 84937,"ApJS 205, 11",10.1088/0067-0049/205/2/11,https://doi.org/10.1088/0067-0049/205/2/11,atomic_data_gf,GES code LGWSC (504 canonical_gf rows). Laboratory Ti I gf.,RYA-545; RYA-853,,,crossref
lawler2015,"Lawler, J. E.; Sneden, C.; Cowan, J. J.",2015,Improved Co I log(gf) Values and Abundance Determinations in the Photospheres of the Sun and Metal-poor Star HD 84937,"ApJS 220, 13",10.1088/0067-0049/220/1/13,https://doi.org/10.1088/0067-0049/220/1/13,atomic_data_gf,PRIMARY laboratory Co I gf (Wisconsin FTS group). SUPERSEDES the Co I half of fuhr1988. canonical_gf does NOT cite it at all; 84 Co I lines still sit on the 1988 compilation -- flagged to RYA-853.,RYA-853; RYA-864,,,crossref
lim2026,"Lim, D.; Yun, S.; Koch-Hansen, A. J.; Chun, S.-H.; Lee, Y. S.; Lee, Y.-W.",2026,Chemical signatures of planetary systems in their host stars: Near-infrared spectroscopy of four planet-hosting wide binaries,A&A (accepted 2026-05-07),10.48550/arXiv.2605.11095,https://arxiv.org/abs/2605.11095,instrument_line_selection,NIR abundance work on planet-hosting wide binaries; the closest external comparison for the Codex IR programme.,RYA-762,Reference documents/2605.11095v1.pdf,arXiv DOI — the A&A version had no DOI at the time of writing. arXiv abs page confirmed HTTP 200 on 2026-08-17.,extracted
lodders2025,"Lodders, K.; Bergemann, M.; Palme, H.",2025,Solar System Elemental Abundances from the Solar Photosphere and CI-Chondrites,Space Science Reviews 221,10.1007/s11214-025-01146-w,https://doi.org/10.1007/s11214-025-01146-w,solar_reference,GOLD reference standard. Canonical 28-element list and the analysis quality index; the meteoritic half of the solar scale.,RYA-757; RYA-758,Reference documents/AbundancesLodders.pdf,On-disk copy is the accepted manuscript (accepted 2025-02-07); the DOI resolves to the published Space Sci. Rev. article.,extracted
magic2013,"Magic, Z.; Collet, R.; Hayek, W.; Asplund, M.",2013,The Stagger-grid: A grid of 3D stellar atmosphere models. II. Horizontal and temporal averaging and spectral line formation,"A&A 560, A8",10.1051/0004-6361/201322252,https://doi.org/10.1051/0004-6361/201322252,model_atmosphere,"The 1D->3D Fe correction source. RYA-819 showed the correction is Elo-driven, so the published -0.05 scalar is wrong in magnitude AND shape.",RYA-553; RYA-669; RYA-819,Reference documents/3D Hydrodynamical Model Atmospheres (Magic et al. 2013).pdf,"docs/references.md cites 'A&A 557, A26' for Magic 2013; the file on disk is paper II, A&A 560, A8. Both papers exist — the one the Codex uses is A560/A8.",extracted
martin1988,"Martin, G. A.; Fuhr, J. R.; Wiese, W. L.",1988,Atomic Transition Probabilities: Scandium through Manganese,"J. Phys. Chem. Ref. Data 17, Suppl. 3",,https://www.osti.gov/biblio/6831545,atomic_data_gf,"GES code MFW (632 canonical_gf rows). Companion NIST compilation to FMW; same circularity caveat. Covers Sc(Z=21) to Mn(Z=25), ~8,800 lines.",RYA-760; RYA-853; RYA-864,,"No DOI: JPCRD SUPPLEMENTS are standalone monographs outside the article stream and were never Crossref-registered (checked by enumerating all 103 JPCRD items 1987-1990 from Crossref -- neither 1988 supplement is among them). Title, authors, date and the Suppl. 3 number are confirmed from the US Department of Energy OSTI record 6831545, which gives volume '17:3' and 1988-10-01 and whose abstract matches the content; that record is the link. An earlier pass left this title BLANK because only secondary sources had it -- OSTI is the primary catalogue that settled it.",publisher
meggers1975,"Meggers, W. F.; Corliss, C. H.; Scribner, B. F.",1975,"Tables of Spectral-Line Intensities, Part I & II - arranged by elements",US Government Printing Office (NBS Monograph 145),,https://archive.org/details/tablesofspectral1451megg,atomic_data_gf,"GES code MC (3,620 canonical_gf rows). Arc-emission intensities converted to gf; the oldest and least reliable large source in the pool.",RYA-853,,"No DOI confirmed: Crossref holds only the 1961 NBS Monograph 32 parts. Title and imprint are verbatim from the GES v5 line-list report reference list. Link is the Internet Archive scan of Part 1 (arranged by elements), confirmed by page content; Part 2 (arranged by wavelengths) is the companion item tablesofspectral1452megg. Public domain — a US Government publication.",publisher
melendez2009,"Melendez, J.; Barbuy, B.",2009,Both accurate and precise gf-values for Fe II lines,"A&A 497, 611",10.1051/0004-6361/200811508,https://doi.org/10.1051/0004-6361/200811508,atomic_data_gf,"Fe II gf set. FIREWALLED: multiplets are globally normalised on laboratory data but individual values are partly solar-fitted, so it must never referee a solar abundance (RYA-161 class).",RYA-161; RYA-853,Reference documents/0901.4451v2.pdf,On-disk copy is the arXiv v2 preprint (arXiv:0901.4451).,extracted
mucciarelli2011,"Mucciarelli, A.",2011,Microturbulent velocity from stellar spectra: a comparison between different approaches,"A&A 528, A44",10.1051/0004-6361/201015814,https://doi.org/10.1051/0004-6361/201015814,method_tool,"Why the Codex derives xi from OBSERVED equivalent widths rather than expected line strength, and where each method breaks down with S/N.",RYA-309,Reference documents/Apslund2010.pdf,"LOCAL FILE IS MISNAMED: 'Apslund2010.pdf' is Mucciarelli 2011 (A&A 528, A44). Identified from PDF metadata. This is the 'aa1581410.pdf' of the ticket inventory.",extracted
nist_asd,"Kramida, A.; Ralchenko, Yu.; Reader, J.; NIST ASD Team",2024,NIST Atomic Spectra Database (version 5.11/5.12),"National Institute of Standards and Technology, Gaithersburg, MD",10.18434/T4W30F,https://doi.org/10.18434/T4W30F,atomic_data_gf,"Grade-bearing gf compilation queried through astroquery.nist. NOT independent of FMW/MFW, which are themselves NIST compilations — it cannot referee them.",RYA-760; RYA-780; RYA-822; RYA-853,,Database DOI; resolves to the NIST ASD landing page.,publisher
nist_asd_2010,"Ralchenko, Yu.; Kramida, A.; Reader, J.; NIST ASD Team",2010,NIST Atomic Spectra Database (version 4.0.0),National Institute of Standards and Technology,10.18434/T4W30F,https://doi.org/10.18434/T4W30F,atomic_data_gf,"GES code NIST10 (974 canonical_gf rows) — the frozen ASD v4.0.0 snapshot the GES list was built against, distinct from today's live ASD.",RYA-853,,"Version-specific snapshot; the DOI resolves to the current ASD landing page, not to v4.0.0 specifically.",publisher
obrian1991,"O'Brian, T. R.; Wickliffe, M. E.; Lawler, J. E.; Whaling, W.; Brault, J. W.",1991,"Lifetimes, transition probabilities, and level energies in Fe I","JOSA B 8, 1185",10.1364/JOSAB.8.001185,https://doi.org/10.1364/JOSAB.8.001185,atomic_data_gf,GES/VALD code BWL (258 canonical_gf rows). Laboratory Fe I lifetimes and transition probabilities.,RYA-780; RYA-853,,"CODE CORRECTION: the ticket listed 'BWL/Blackwell-Whitehead-Lawler' and 'O'Brian 1991' as two sources. The GES v5 line-list report decodes BWL as O'Brian et al. (1991) — they are ONE source, not two.",crossref
omara2003,"O'Mara, B. J.; Barklem, P. S.",2003,Broadening of Spectral Lines by Collisions with H-atoms,"Proceedings of the 12th Cambridge Workshop on Cool Stars, Stellar Systems & the Sun (2003, University of Colorado)",,https://cs12.colorado.edu/proceedings/poster/omaraxx.pdf,atomic_data_broadening,"The ABO theory behind the van der Waals broadening the line lists carry (VALD code BPM, Barklem-Piskunov-O'Mara).",RYA-288,Reference documents/omaraxx.pdf,"Workshop proceedings; no DOI. The link is the proceedings host at the University of Colorado, and it is the DEFINITIVE identification: the served file is BYTE-IDENTICAL to the local copy (cmp, 96,017 bytes), so the on-disk PDF demonstrably came from there. ADS bibcode 2003csss...12.1097O.",extracted
palmeri2000,"Palmeri, P.; Quinet, P.; Wyart, J.-F.; Biemont, E.",2000,Theoretical Lifetimes and Oscillator Strengths in Ce II. Application to the Chemical Composition of the Sun,"Physica Scripta 61, 323",10.1238/physica.regular.061a00323,https://doi.org/10.1238/physica.regular.061a00323,atomic_data_gf,"GES code PQWB (5,522 canonical_gf rows). Theoretical Ce II gf.",RYA-853,,,crossref
pehlivan_rhodin2017,"Pehlivan Rhodin, A.; Hartman, H.; Nilsson, H.; Jonsson, P.",2017,Experimental and theoretical oscillator strengths of Mg I for accurate abundance analysis,"A&A 598, A102",10.1051/0004-6361/201629849,https://doi.org/10.1051/0004-6361/201629849,atomic_data_gf,The independent Mg I gf cross-check quoted in two canonical_gf provenance strings during the RYA-592 re-verification.,RYA-592; RYA-853,,,crossref
peterson2022,"Peterson, R. C.; Kurucz, R. L.",2022,"New Fe I Level Energies and Line Identifications from Stellar Spectra. III. Initial Results from UV, Optical, and Infrared Spectra","ApJS 260, 28",10.3847/1538-4365/ac596b,https://doi.org/10.3847/1538-4365/ac596b,atomic_data_gf,Fe I level energies and line identifications; the term-label authority behind level keying (RYA-823) and the IR jK levels.,RYA-763; RYA-823,Reference documents/Peterson_2022_ApJS_260_28 (1).pdf,,extracted
pickering2001,"Pickering, J. C.; Thorne, A. P.; Perez, R.",2001,Oscillator Strengths of Transitions in Ti II in the Visible and Ultraviolet Regions,"ApJS 132, 403",10.1086/318958,https://doi.org/10.1086/318958,atomic_data_gf,"GES code PTP (35 canonical_gf rows). Erratum: ApJS 138, 247 (2002), doi:10.1086/323910.",RYA-545; RYA-853,,"SPECIES CORRECTION: the ticket listed Pickering 2001-02 under 'Fe II experimental'. The paper is Ti II, not Fe II.",crossref
quinet1999,"Quinet, P.; Palmeri, P.; Biemont, E.",1999,On the use of the Cowan's code for atomic structure calculations in singly ionized lanthanides,"JQSRT 62, 625",10.1016/S0022-4073(98)00127-7,https://doi.org/10.1016/S0022-4073(98)00127-7,atomic_data_gf,"GES code QPB (1,680 canonical_gf rows). Theoretical lanthanide gf.",RYA-853,,,crossref
raassen1998b,"Raassen, A. J. J.; Pickering, J. C.; Uylings, P. H. M.",1998,Calculated oscillator strengths of singly ionized cobalt,"A&AS 130, 541",10.1051/aas:1998242,https://doi.org/10.1051/aas:1998242,atomic_data_gf,GES code RPU (600 canonical_gf rows). Theoretical Co II gf.,RYA-853,,,crossref
raassen_uylings1998,"Raassen, A. J. J.; Uylings, P. H. M.",1998,On the determination of the solar iron abundance using Fe II lines,"A&A 340, 300-304",,https://articles.adsabs.harvard.edu/pdf/1998A%26A...340..300R,atomic_data_gf,"GES code RU (8,473 canonical_gf rows) — orthogonal-operator theoretical gf, the second-largest single source after VALD3/Kurucz.",RYA-161; RYA-853,,"Pre-2000 A&A volume; no DOI is registered. Link is the ADS scanned article, which was downloaded and read: its own first page gives this title, these authors and 'Astron. Astrophys. 340, 300-304 (1998)'. NOTE THE SUBJECT — this is a solar-Fe-abundance paper; it derives A(Fe) = 7.59 from its own gf. Those gf are theoretical, so the abundance is an OUTPUT and not a fit input — this is NOT RYA-161 firewall class — but 8,473 canonical_gf rows carry it, so the distinction is worth stating rather than assuming.",extracted
ramirez2013,"Ramirez, I.; Allende Prieto, C.; Lambert, D. L.",2013,Oxygen Abundances in Nearby FGK Stars and the Galactic Chemical Evolution of the Local Disk and Halo,"ApJ 764, 78",10.1088/0004-637X/764/1/78,https://doi.org/10.1088/0004-637X/764/1/78,cno,825-star O I 777 NLTE survey — the population-scale comparison for the Codex oxygen values.,RYA-447; RYA-485,Reference documents/Oxygen Abudances.pdf,On-disk copy is the arXiv v1 preprint (arXiv:1301.1582).,extracted
reiners2016,"Reiners, A.; Mrotzek, N.; Lemke, U.; Hinrichs, J.; Reinsch, K.",2016,The IAG solar flux atlas: Accurate wavelengths and absolute convective blueshift in standard solar spectra,"A&A 587, A65",10.1051/0004-6361/201527530,https://doi.org/10.1051/0004-6361/201527530,solar_reference,Reference solar flux atlas (405-2300 nm) used as a wavelength-scale control for the solar anchor.,RYA-459; RYA-485,Reference documents/aa27530-15.pdf,,extracted
ruffoni2014,"Ruffoni, M. P.; Den Hartog, E. A.; Lawler, J. E.; Brewer, N. R.; Lind, K.; Nave, G.; Pickering, J. C.",2014,Fe I oscillator strengths for the Gaia-ESO survey,"MNRAS 441, 3127",10.1093/mnras/stu780,https://doi.org/10.1093/mnras/stu780,atomic_data_gf,PRIMARY laboratory Fe I gf (FTS branching fractions x radiative lifetimes). One of exactly three sources admitted to the lab-gf sub-pool.,RYA-799; RYA-824; RYA-836,Reference documents/stu780.pdf,Ticket text said 'stu520'; the DOI printed on the paper is 10.1093/mnras/stu780. Corrected from the PDF.,extracted
ryabchikova2015,"Ryabchikova, T.; Piskunov, N.; Kurucz, R. L.; Stempels, H. C.; Heiter, U.; Pakhomov, Yu.; Barklem, P. S.",2015,A major upgrade of the VALD database,"Physica Scripta 90, 054005",10.1088/0031-8949/90/5/054005,https://doi.org/10.1088/0031-8949/90/5/054005,atomic_data_gf,"VALD3 — the largest single loggf_reference in canonical_gf (40,515 rows) and the source of every vald_*_raw delivery.",RYA-376; RYA-853,,,crossref
schmitt2010_thesis,"Schmitt, R.",2010,The Birth of Exoplanets: Alpha Enhancement and the Formation of Planetary Systems,"Undergraduate honors thesis, University of Montana (Honors College)",,https://exoplanetcodex.org/assets/docs/schmitt-2010-thesis.pdf,project_doc,"Where the project's question comes from, and the origin of the alpha-enhancement framing the Codex still uses: [Fe/H] alone is not the interesting axis. The 2010 ELODIE analysis of 55 Cnc A, HD 89307 and Gliese 581. Historical context — never a substitute for current pipeline provenance.",RYA-179,Archive docs/schmitt-2010-thesis.pdf,"TWO EARLIER ROWS DESCRIBED THIS ONE DOCUMENT. It was carried both as 'schmitt_beyond_metallicity' (an unpublished essay, category motivation) and as 'schmitt2010_thesis' — they are BYTE-IDENTICAL (md5 36b8ce3883cbe75b...), and the thesis row additionally carried an INVENTED title, 'Elemental Abundances of Three Exoplanet Host Stars', which I had paraphrased from the About page's prose description instead of opening the PDF. The title above is the document's own first page. Merged to one row. Four byte-identical copies exist on disk: 'Archive docs/Beyond Metallicity.doc.pdf', 'Beyond Metallicity.doc (1).pdf', 'Archive docs/schmitt-2010-thesis.pdf' and the published site copy. Worked on 2007-2010; written and published through the Honors College at the University of Montana, with no formal journal publication — so the site copy is the only URL there is, and that is the complete answer, not a gap.",extracted
schmitt_glossary_v2,"Schmitt, R.",2026,"The Exoplanet Codex Glossary, v2.0",The Exoplanet Codex,,https://exoplanetcodex.org/assets/docs/exoplanet-codex-glossary-v2.0.pdf,project_doc,The published glossary; the vocabulary the site and the SPP share.,RYA-179,Archive docs/exoplanet-codex-glossary-v2.0.pdf,Project document; no DOI. Published copy is served from exoplanetcodex.org.,publisher
schmitt_method_v2,"Schmitt, R.",2026,"The Exoplanet Codex Method, v2.0",The Exoplanet Codex,,https://exoplanetcodex.org/assets/docs/exoplanet-codex-method-v2.0.pdf,project_doc,The published methodology document the site links from every results page.,RYA-179,Archive docs/exoplanet-codex-method-v2.0.pdf,Project document; no DOI. Published copy is served from exoplanetcodex.org.,publisher
schmitt_science_architecture,"Schmitt, R.",2026,"Science Architecture: How the Exoplanet Codex checks measurements, promotes results, freezes references, and preserves the scientific record","The Exoplanet Codex, v3.0",,https://exoplanetcodex.org/assets/docs/exoplanet-codex-science-architecture-v3.0.pdf,project_doc,"The architecture document behind the two-engine floor, the three promotion gates, the freeze tiers, the honesty tripwire and the RYA-161 firewall — the reasoning every other row in this bibliography is serving.",RYA-179,exoplanetcodex-site/assets/docs/exoplanet-codex-science-architecture-v3.0.pdf,"FOUND, after an earlier pass wrongly recorded it as missing. The RYA-854 inventory named 'Exoplanet_Codex_Science_Architecture.docx', which genuinely does not exist under that name — but the document does, published on the site as v3.0 (PDF) with v2.0 (.docx) archived beside it. Title and subtitle read from the PDF's own first page; the live URL serves application/pdf. The lesson is that searching for the INVENTORY'S filename and concluding absence was the error: the absence was scoped to a name, not to the document.",extracted
schnabel2004,"Schnabel, R.; Schultz-Johanning, M.; Kock, M.",2004,Fe II lifetimes and transition probabilities,"A&A 414, 1169",10.1051/0004-6361:20031685,https://doi.org/10.1051/0004-6361:20031685,atomic_data_gf,Named in RYA-854 as an expected Fe II source. NOT currently cited by any canonical_gf row — the Schnabel paper that IS cited is Kling et al. (2001).,RYA-853; RYA-854,,"Listed for completeness. DOI confirmed via Crossref; aanda.org returns HTTP 403 to automated agents, which is a bot block, not a dead link.",crossref
scott2015,"Scott, P.; Asplund, M.; Grevesse, N.; Bergemann, M.; Sauval, A. J.",2015,The elemental composition of the Sun. II. The iron group elements Sc to Ni,"A&A 573, A26",10.1051/0004-6361/201424110,https://doi.org/10.1051/0004-6361/201424110,solar_reference,Iron-group solar abundances and the 3D corrections the Codex uses for Ti and Cr.,RYA-399,,Crossref issue date is 2014 (online-first); the volume year is 2015.,crossref
sharma2024,"Sharma, A.; Stonkute, E.; Drazdauskas, A.; Minkeviciute, R.; Mikolaitis, S.; Tautvaisiene, G.; Narbuntas, T.",2024,"Chemical composition of planetary hosts: C, N, and alpha-element abundances","A&A 691, A160",10.1051/0004-6361/202451889,https://doi.org/10.1051/0004-6361/202451889,motivation,Uniform C/N/O and Mg/Si for 149 planet hosts — the direct comparison sample for the Codex's own ratios.,RYA-237,Reference documents/aa51889-24.pdf,,extracted
shi2018,"Shi, J. R.; Yan, H. L.; Zhou, Z. M.; Zhao, G.",2018,NLTE Analysis of Copper Lines in Different Stellar Populations,"ApJ 862, 71",10.3847/1538-4357/aacb22,https://doi.org/10.3847/1538-4357/aacb22,nlte,Third Cu NLTE treatment held on disk; the LTE-vs-NLTE size check for Cu I.,RYA-466,Reference documents/1806.02225v2.pdf,On-disk copy is the arXiv v2 preprint (arXiv:1806.02225).,extracted
sikstrom1999,"Sikstrom, C. M.; Schultz-Johanning, M.; Kock, M.; Li, Z.-S.; Nilsson, H.; Johansson, S.",1999,The FERRUM project: experimental lifetimes of highly excited Fe II 3d6 4p levels and transition probabilities,"J. Phys. B 32, 5687",10.1088/0953-4075/32/24/306,https://doi.org/10.1088/0953-4075/32/24/306,atomic_data_gf,"Named in RYA-854 as an expected Fe II source. NOT currently cited by any canonical_gf row — recorded here so the claim is checkable, not assumed.",RYA-853; RYA-854,,Listed for completeness; canonical_gf's Sikstrom code (SPN) resolves to the 2001 Mo II paper instead.,crossref
sikstrom2001,"Sikstrom, C. M.; Pihlemark, H.; Nilsson, H.; Litzen, U.",2001,Experimental Mo II oscillator strengths,"J. Phys. B 34, 477",10.1088/0953-4075/34/3/323,https://doi.org/10.1088/0953-4075/34/3/323,atomic_data_gf,GES code SPN (5 canonical_gf rows). This — not the 1999 FERRUM paper — is the Sikstrom source actually cited by the line list.,RYA-853,,,crossref
sitnova2022,"Sitnova, T. M.; Yakovleva, S. A.; Belyaev, A. K.; Mashonkina, L. I.",2022,Non-LTE abundances of zinc in different spectral type stars and the Galactic [Zn/Fe] trend based on quantum-mechanical data on inelastic processes in zinc-hydrogen collisions,"MNRAS 515, 1510",10.1093/mnras/stac1813,https://doi.org/10.1093/mnras/stac1813,nlte,The Zn NLTE grid that made Zn the 28th canonical element.,RYA-757; RYA-758,,,crossref
sneden1973,"Sneden, C.",1973,The nitrogen abundance of the very metal-poor star HD 122563,"ApJ 184, 839",10.1086/152374,https://doi.org/10.1086/152374,method_tool,The MOOG code paper — the LTE line-analysis engine iSpec can drive.,,,,crossref
sneden_moog_manual,"Sneden, C.; Sakari, C.",2019,"MOOG: An LTE Stellar Line Analysis Program (manual, November 2019)",University of Texas at Austin,,https://www.as.utexas.edu/~chris/moog.html,method_tool,The operating manual for the MOOG build compiled into the Codex iSpec install.,,Reference documents/WRITEnov2019.pdf,Software manual; no DOI. Link is Sneden's MOOG distribution page (content confirmed). Cite sneden1973 for the code itself.,extracted
sobeck2007,"Sobeck, J. S.; Lawler, J. E.; Sneden, C.",2007,Improved Laboratory Transition Probabilities for Neutral Chromium and Redetermination of the Chromium Abundance for the Sun and Three Stars,"ApJ 667, 1267",10.1086/519987,https://doi.org/10.1086/519987,atomic_data_gf,GES code SLS (122 canonical_gf rows). Laboratory Cr I gf.,RYA-818; RYA-853,,,crossref
spina2016,"Spina, L.; Melendez, J.; Ramirez, I.",2016,Planet signatures and effect of the chemical evolution of the Galactic thin-disk stars,"A&A 585, A152",10.1051/0004-6361/201527429,https://doi.org/10.1051/0004-6361/201527429,motivation,The [X/H]-Tcond slope debate: planet signature vs Galactic chemical evolution.,,Reference documents/aa27429-15.pdf,,extracted
storey_zeippen2000,"Storey, P. J.; Zeippen, C. J.",2000,Theoretical values for the [O III] 5007/4959 line-intensity ratio and homologous cases,"MNRAS 312, 813",10.1046/j.1365-8711.2000.03184.x,https://doi.org/10.1046/j.1365-8711.2000.03184.x,atomic_data_gf,Cited verbatim in canonical_gf for a NIST-grade-A forbidden line.,RYA-853,,,crossref
tennyson2016,"Tennyson, J.; Yurchenko, S. N.; Al-Refaie, A. F.; Barton, E. J.; Chubb, K. L.; Coles, P. A.",2016,The ExoMol database: molecular line lists for exoplanet and other hot atmospheres,"J. Molec. Spectrosc. 327, 73",10.1016/j.jms.2016.05.002,https://doi.org/10.1016/j.jms.2016.05.002,method_tool,"Molecular line lists (CO, CH, CN) vendored for the IR and CNO synthesis legs.",RYA-360; RYA-390,Reference documents/1603.05890v3.pdf,On-disk copy is the arXiv v3 preprint (arXiv:1603.05890).,extracted
teske2013,"Teske, J. K.; Cunha, K.; Schuler, S. C.; Griffith, C. A.; Smith, V. V.",2013,Carbon and Oxygen Abundances in Cool Metal-rich Exoplanet Hosts: A Case Study of the C/O Ratio of 55 Cancri,"ApJ 778, 132",10.1088/0004-637X/778/2/132,https://doi.org/10.1088/0004-637X/778/2/132,cno,"The 55 Cnc C/O controversy in one paper, including the Ni I 6300.34 blend sensitivity the Codex inherits.",RYA-365; RYA-447,Reference documents/Teske_2013_ApJ_778_132.pdf,,extracted
vald3_tool,Vienna Atomic Line Database (VALD3),2015,VALD3 extract-stellar / extract-element interface,"VALD, Uppsala University",,http://vald.astro.uu.se/,atomic_data_gf,The extraction TOOL the raw deliveries came from; cite alongside ryabchikova2015 whenever a delivery is reproduced.,RYA-376,,"Database interface, not a publication — no DOI exists.",publisher
vonbraun2011,"von Braun, K.; Boyajian, T. S.; ten Brummelaar, T. A.; Kane, S. R.; van Belle, G. T.",2011,"55 Cancri: Stellar Astrophysical Parameters, a Planet in the Habitable Zone, and Implications for the Radius of a Transiting Super-Earth","ApJ 740, 49",10.1088/0004-637X/740/1/49,https://doi.org/10.1088/0004-637X/740/1/49,benchmark_params,Interferometric 55 Cnc parameters — the adopted Teff/radius for the flagship system.,RYA-420,Reference documents/von_Braun_2011_ApJ_740_49.pdf,,extracted
whaling_brault1988,"Whaling, W.; Brault, J. W.",1988,Comprehensive transition probabilities in Mo I,"Physica Scripta 38, 707",10.1088/0031-8949/38/5/010,https://doi.org/10.1088/0031-8949/38/5/010,atomic_data_gf,GES code WBb (854 canonical_gf rows).,RYA-853,,,crossref
wiese_fuhr2006,"Wiese, W. L.; Fuhr, J. R.",2006,"New Critical Compilations of Atomic Transition Probabilities for Neutral and Singly Ionized Carbon, Nitrogen, and Iron","Proceedings of the NASA Laboratory Astrophysics Workshop (14-16 February 2006, UNLV, Las Vegas)",,https://ntrs.nasa.gov/citations/20060052476,atomic_data_gf,"The NIST authors' own summary of what went into the 2006 Fe I/Fe II compilation (fuhr_wiese2006) and the C/N updates, stating which literature it rests on. Useful as the provenance statement behind the NIST/FMW circularity RYA-760 turns on: NIST ASD IS this compilation, so ASD cannot referee a value taken from it.",RYA-760; RYA-864,Reference documents/20060052476.pdf,"Conference proceedings; no DOI is registered. The link is the NASA Technical Reports Server record, which is the DEFINITIVE identification: NTRS returns this exact title and these authors for document 20060052476, and the local filename is NTRS's own download name for it. US Government work.",extracted
wood2014,"Wood, M. P.; Lawler, J. E.; Sneden, C.; Cowan, J. J.",2014,Improved Ni I log(gf) Values and Abundance Determinations in the Photospheres of the Sun and Metal-poor Star HD 84937,"ApJS 211, 20",10.1088/0067-0049/211/2/20,https://doi.org/10.1088/0067-0049/211/2/20,atomic_data_gf,PRIMARY laboratory Ni I gf (Wisconsin FTS group). SUPERSEDES the Ni I half of fuhr1988. canonical_gf already cites it for 22 Ni I lines while 102 Ni I lines still sit on the 1988 compilation -- flagged to RYA-853.,RYA-853; RYA-864,,,crossref
xu2022,"Xu, X.; Shi, J.; Wang, X.",2022,The Impact of Inelastic Collisions with Hydrogen on NLTE Copper Abundances in Metal-poor Stars,"ApJ 936, 4",10.3847/1538-4357/ac84d9,https://doi.org/10.3847/1538-4357/ac84d9,nlte,Cu NLTE with quantum-mechanical Cu+H collision rates (Belyaev+2021) — the modern replacement for the Drawin approximation.,RYA-466; RYA-546,Reference documents/2208.11812v1.pdf,On-disk copy is the arXiv v1 preprint (arXiv:2208.11812).,extracted
zhao2023,"Zhao, L. L.; Dumusque, X.; Ford, E. B.; Llama, J.",2023,"The Extreme Stellar-signals Project. III. Combining Solar Data from HARPS, HARPS-N, EXPRES, and NEID","AJ 166, 173",10.3847/1538-3881/acf83e,https://doi.org/10.3847/1538-3881/acf83e,solar_reference,Cross-instrument solar data comparison; context for combining HARPS solar products across spectrographs.,,Reference documents/Zhao_2023_AJ_166_173.pdf,,extracted
