instrument,holding,species,wavelength_air_A,ep_eV,published_loggf,source_band,half_width_A,status,ew_mA,observed_core_depth,method,spectrum_source,reason_or_concern
crires_plus,solar_vesta_crires_plus_idp,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 7226.208 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
harps,solar_harps,Si II,6371.3714,8.121,-0.044,VIS,0.12,served,27.4246,0.1696,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps · solar_normalized.csv,
harps,solar_harps_molecfit_corrected,Si II,6371.3714,8.121,-0.044,VIS,0.12,served,27.4251,0.1696,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,
iag_fts_solar_atlas,solar_iag,Si II,6371.3714,8.121,-0.044,VIS,0.12,served,29.3757,0.19086,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si II,6371.3714,8.121,-0.044,VIS,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 6371.371 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si II,6371.3714,8.121,-0.044,VIS,0.12,served,28.3882,0.18419,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_molecfit_corrected · lm0636[uncorrected: no telluric band registered],
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si II,6371.3714,8.121,-0.044,VIS,0.12,served,27.5536,0.1813,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si II,6371.3714,8.121,-0.044,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 6371.371 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si II,6371.3714,8.121,-0.044,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 6371.371 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si II,6371.3714,8.121,-0.044,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 6371.371 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_vesta_crires_plus_idp,Si II,6371.3714,8.121,-0.044,VIS,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 6371.371 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
